StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q26_9,Q26_10,Q30,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q28_10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q31,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,Q29_10,Q20,Q18,Q19,Q19_6_TEXT,Q26,Q21,Q22,Q21,Q25,Q25_17_TEXT,Q23,Q24,Q25,Q16_1,Q16_2,Q16_3
2020-10-07 08:56:51,2020-10-07 09:11:47,IP Address,173.3.209.165,100,896,True,2020-10-07 09:11:47,R_3EZoq9euHGzlWFn,,,,,41.0301055908203125,-74.29650115966796875,anonymous,EN,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Somewhat Disagree,False,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,18-24 years old,Female,White,,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT","Single, never married","Less than $25,000",No,"Pop,Rock,Hip hop,Country,R&B",,"$0,Less than $25,$25 to $50,$50 to $100,$100 to $250",$0,$0,1,2,2
2020-10-07 10:00:37,2020-10-07 10:10:18,IP Address,24.184.233.99,100,581,True,2020-10-07 10:10:19,R_1H1dLyAYtAcX4Pc,,,,,40.5511016845703125,-74.460601806640625,anonymous,EN,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,False,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,False,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,25-34 years old,Female,Asian / Pacific Islander,,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT","Single, never married","Less than $25,000",Yes,"Pop,Rock,Hip hop,Classical,R&B",,"$0,Less than $25,$25 to $50,$50 to $100,$100 to $250","$0,Less than $25,$25 to $50","$0,Less than $25,$25 to $50",-2,2,2
2020-10-07 10:36:13,2020-10-07 10:53:02,IP Address,100.8.203.55,100,1009,True,2020-10-07 10:53:02,R_1EiKHIFan9iSr5G,,,,,40.7467041015625,-74.057403564453125,anonymous,EN,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,True,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,True,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Disagree,18-24 years old,Female,"White,Hispanic or Latino",,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT","Single, never married","$150,000 or more",No,"Rock,Hip hop,Heavy metal,R&B,Other",Latin/Reggaeton,"$25 to $50,$50 to $100,$100 to $250,$250 to $500,More than $500",Less than $25,Less than $25,2,-1,1
2020-10-07 11:05:05,2020-10-07 11:17:15,IP Address,174.195.145.38,100,729,True,2020-10-07 11:17:15,R_2Y2DEg8hli9bO61,,,,,33.9257965087890625,-117.489898681640625,anonymous,EN,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neutral,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,True,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Disagree,False,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,18-24 years old,Female,Asian / Pacific Islander,,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY","Single, never married","Less than $25,000",No,"Pop,Rock,Hip hop,Jazz,Blues,Folk,Musical theater,Country,R&B",,"$0,Less than $25,$25 to $50,$50 to $100","$0,Less than $25",$0,1,0,1
2020-10-07 18:35:06,2020-10-07 18:43:56,IP Address,69.113.12.153,100,530,True,2020-10-07 18:43:57,R_2t2LhOgJn5ekpDu,,,,,40.8616943359375,-74.410400390625,anonymous,EN,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,True,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,True,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,55-64 years old,Female,White,,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT","Single, never married","$100,000 to $149,999",No,"Pop,Rock,Classical,Country",,$25 to $50,Less than $25,Less than $25,-2,-2,2
2020-10-07 19:34:52,2020-10-07 19:44:46,IP Address,98.221.58.254,100,594,True,2020-10-07 19:44:47,R_3FVYI3eftgN1V5r,,,,,40.6128997802734375,-74.4160003662109375,anonymous,EN,Neutral,Somewhat Disagree,Neutral,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,False,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,False,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,45-54 years old,Female,White,,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Married or domestic partnership,"$35,000 to $49,999",No,"Rock,Jazz,Heavy metal,Musical theater,Classical,Country",,$25 to $50,$0,$0,-2,2,2
2020-10-07 19:41:56,2020-10-07 19:46:56,IP Address,74.105.4.142,100,300,True,2020-10-07 19:46:57,R_247ckz3Uikg5ByA,,,,,40.5738067626953125,-74.49739837646484375,anonymous,EN,Somewhat Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,False,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,False,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,35-44 years old,Female,White,,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Married or domestic partnership,"$35,000 to $49,999",No,"Rock,Heavy metal,Classical",,"Less than $25,$25 to $50,$50 to $100",$0,$0,1,0,2
2020-10-07 19:36:06,2020-10-07 20:02:56,IP Address,107.77.225.198,100,1610,True,2020-10-07 20:02:56,R_29miYjPpuD9Odmj,,,,,40.849395751953125,-73.90160369873046875,anonymous,EN,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,True,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,False,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Somewhat Agree,Strongly Disagree,Neutral,Somewhat Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Neutral,18-24 years old,Female,"White,Hispanic or Latino,Black or African American,Asian / Pacific Islander",,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT","Single, never married","Less than $25,000",No,"Pop,Rock",,"$0,Less than $25,$25 to $50,$50 to $100,$100 to $250,$250 to $500,More than $500","$0,Less than $25,$25 to $50,$50 to $100","$0,Less than $25",0,2,2
2020-10-07 21:35:31,2020-10-07 21:45:20,IP Address,69.124.98.91,100,589,True,2020-10-07 21:45:21,R_Q6Ntkc1e3XRQUuZ,,,,,40.945098876953125,-74.2530975341796875,anonymous,EN,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Neutral,Neutral,False,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,False,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,35-44 years old,Female,White,,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Married or domestic partnership,"$75,000 to $99,999",No,"Pop,Rock,Folk,Musical theater,Classical",,"Less than $25,$25 to $50,$50 to $100","Less than $25,$25 to $50","$0,Less than $25",-1,2,2
2020-10-07 22:10:52,2020-10-07 22:19:48,IP Address,24.187.63.57,100,535,True,2020-10-07 22:19:48,R_2cCsEcH4F5tOgem,,,,,40.20660400390625,-74.07270050048828125,anonymous,EN,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Strongly Agree,Somewhat Disagree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,True,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,False,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Neutral,Strongly Agree,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Disagree,55-64 years old,Female,White,,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Married or domestic partnership,"$100,000 to $149,999",No,"Pop,Rock",,$50 to $100,Less than $25,$0,-1,0,2
2020-10-08 07:28:55,2020-10-08 07:34:07,IP Address,96.233.106.242,100,312,True,2020-10-08 07:34:07,R_1JINETLrwKAEedp,,,,,42.0648040771484375,-71.250396728515625,anonymous,EN,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,True,Strongly Agree,Neutral,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,False,Somewhat Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,35-44 years old,Male,White,,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Married or domestic partnership,"$150,000 or more",No,"Pop,Rock,Folk,Country",,"$0,Less than $25,$25 to $50,$50 to $100,$100 to $250","$0,Less than $25,$25 to $50","$0,Less than $25",-2,-1,2
2020-10-08 07:35:04,2020-10-08 09:37:57,IP Address,174.225.19.35,100,7372,True,2020-10-08 09:37:57,R_33sDFnhyFfq8gGs,,,,,40.64190673828125,-74.38680267333984375,anonymous,EN,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Neutral,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,True,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Agree,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Strongly Disagree,False,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Strongly Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,35-44 years old,Female,White,,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Married or domestic partnership,"$150,000 or more",No,"Pop,Rock,Hip hop,Blues,Folk,Musical theater,Country,R&B",,"Less than $25,$25 to $50,$50 to $100,$100 to $250,$250 to $500,More than $500","Less than $25,$25 to $50,$50 to $100","Less than $25,$25 to $50,$50 to $100",-1,2,2
2020-10-08 11:24:25,2020-10-08 11:34:17,IP Address,67.253.85.102,100,592,True,2020-10-08 11:34:18,R_8oDJZHNXiWzauOZ,,,,,43.38580322265625,-70.5453033447265625,anonymous,EN,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Neutral,False,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Agree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,False,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,75 years or older,Male,White,,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Married or domestic partnership,"$150,000 or more",No,"Pop,Rock,Country,Other",Big band,$100 to $250,$0,$0,,2,2
2020-10-08 13:27:22,2020-10-08 13:31:58,IP Address,69.124.101.239,100,275,True,2020-10-08 13:31:58,R_3j7ZXagGN8II5VV,,,,,40.945098876953125,-74.2530975341796875,anonymous,EN,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,False,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,True,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,18-24 years old,Female,White,,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT","Single, never married","Less than $25,000",No,"Pop,Rock,Heavy metal,Country,EDM",,"$0,Less than $25,$25 to $50,$50 to $100",$0,"$0,Less than $25",2,0,2
2020-10-08 14:15:23,2020-10-08 14:37:15,IP Address,73.199.80.183,100,1311,True,2020-10-08 14:37:15,R_1gjw72AWHuFGxR8,,,,,40.610504150390625,-74.28130340576171875,anonymous,EN,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,True,Neutral,Neutral,Somewhat Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Somewhat Disagree,Strongly Disagree,False,Neutral,Neutral,Strongly Agree,Neutral,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Strongly Disagree,18-24 years old,Female,"White,Hispanic or Latino",,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT","Single, never married","Less than $25,000",No,"Pop,Rock,Hip hop,Folk,Musical theater,Country,R&B,EDM,Other",Mostly Pop lol,"$0,Less than $25,$25 to $50,$50 to $100,$100 to $250,$250 to $500,More than $500","$0,Less than $25,$25 to $50","$0,Less than $25,$25 to $50",1,2,2
2020-10-01 15:36:48,2020-10-01 15:37:08,IP Address,100.8.192.74,24,19,False,2020-10-08 15:37:18,R_2ZZXUlP6ij267fr,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-08 15:34:06,2020-10-08 15:42:34,IP Address,173.63.54.138,100,507,True,2020-10-08 15:42:34,R_WopIEFsSG2Vs4CZ,,,,,40.94189453125,-73.995697021484375,anonymous,EN,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Somewhat Agree,Neutral,False,Somewhat Disagree,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Neutral,Strongly Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Neutral,False,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,18-24 years old,Male,White,,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT","Single, never married","Less than $25,000",No,"Pop,Rock,Hip hop,Jazz,Blues,Folk,Classical,R&B,EDM",,$250 to $500,"$0,Less than $25","$0,Less than $25",-1,1,2
2020-10-08 15:34:09,2020-10-08 15:45:55,IP Address,148.75.92.154,100,706,True,2020-10-08 15:45:56,R_1MXSbbc8v0HRMpB,,,,,40.9123992919921875,-74.4113006591796875,anonymous,EN,Somewhat Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,False,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,True,Strongly Agree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,18-24 years old,Female,White,,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT","Single, never married","Less than $25,000",No,"Pop,Rock,Hip hop,Jazz,Folk,Musical theater,Classical,R&B",,"$0,Less than $25,$25 to $50,$50 to $100,$100 to $250","$0,Less than $25,$25 to $50","$0,Less than $25,$25 to $50,$50 to $100",1,0,2
