StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_6_TEXT,Q5,Q5_3_TEXT,Q6,Q6_5_TEXT,Q8,Q9,Q11,Q13,Q16,Q15,Q17,Q18,Q20,Q21,Q39,Q40,Q41,Q42,Q44,Q45,Q47,Q48,Q49,Q50,Q29,Q30,Q31,Q33,Q34,Q35,Q36,Q37,Q38,Q51,Q52,Q53,Q27
10/29/20 19:47,10/29/20 19:52,IP Address,100,287,TRUE,10/29/20 19:52,R_cvGvxmmUGVDBfHz,anonymous,EN,"I consent, begin the study.",White,,,,,,,Female,,"Arts major (Art, Music, etc.)",,Mostly Disagree,Disagree,Agree,Mostly Disagree,Agree,Mostly Disagree,Mostly Agree,Mostly Agree,10th Grade,Trigonometry,Always,Always,Always,Sometimes,12th Grade,Calculus,Sometimes,Always,Sometimes,Rarely ,Strongly Agree,Mostly Disagree,Mostly Disagree,Mostly Disagree,Mostly Agree,Strongly Agree,Mostly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,there was more time for me to learn it. 
10/29/20 19:55,10/29/20 20:01,IP Address,100,325,TRUE,10/29/20 20:01,R_22QYoeUgToRQ8qh,anonymous,EN,"I consent, begin the study.",White,,,,,,,Female,,"Social Science major (Education, English, Psychology, etc.)",,Disagree,Disagree,Agree,Disagree,Agree,Mostly Disagree,Agree,Mostly Agree,9th Grade,Algebra,Sometimes,Sometimes,Sometimes,Sometimes,12th Grade,Calculus,Rarely ,Rarely ,Sometimes,Rarely ,Agree,Disagree,Mostly Agree,Mostly Disagree,Mostly Agree,Mostly Disagree,Disagree,Mostly Disagree,Strongly Disagree,Mostly Disagree,Mostly Agree,Disagree,Lessons were easier to understand and at a slower pace with lots of practice
10/29/20 20:09,10/29/20 20:12,IP Address,100,166,TRUE,10/29/20 20:12,R_r8fGaXhtm1luPux,anonymous,EN,"I consent, begin the study.",,,,,,Other,,Female,,Other,communications,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Middle School (6th to 8th),Geometry,Sometimes,Sometimes,Sometimes,Sometimes,College,Algebra,Never,Never,Never,Sometimes,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,it was even slightly enjoyable. I just do not understand it.
10/29/20 20:06,10/29/20 20:13,IP Address,100,390,TRUE,10/29/20 20:13,R_tVwgOZnRT0Go6C5,anonymous,EN,"I consent, begin the study.",White,,,,,,,Female,,Other,nursing ,Disagree,Mostly Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,College,Algebra,Always,Sometimes,Sometimes,Sometimes,College,Algebra,Sometimes,Sometimes,Sometimes,Sometimes,Mostly Agree,Disagree,Disagree,Agree,Disagree,Mostly Disagree,Disagree,Strongly Agree,Mostly Disagree,Disagree,Mostly Disagree,Agree,It was easier for me
10/29/20 21:25,10/29/20 21:31,IP Address,100,359,TRUE,10/29/20 21:31,R_2VqhND2oNcL4CNN,anonymous,EN,"I consent, begin the study.",,,,,,Other,Hispanic,Male,,"Arts major (Art, Music, etc.)",,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,11th Grade,Calculus,Always,Always,Sometimes,Sometimes,9th Grade,Trigonometry,Always,Sometimes,Rarely ,Rarely ,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,The teacher has a passion for mathematics and uses different methods of teaching.
10/30/20 7:46,10/30/20 7:54,IP Address,100,501,TRUE,10/30/20 7:54,R_1fmfChfrVVEm8pt,anonymous,EN,"I consent, begin the study.",White,Black or African American,,,,,,Female,,"Social Science major (Education, English, Psychology, etc.)",,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Middle School (6th to 8th),Algebra,Always,Always,Always,Always,10th Grade,Geometry,Sometimes,Sometimes,Rarely ,Rarely ,Strongly Agree,Agree,Mostly Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Mostly Agree,Agree,Disagree,"my professors taught it in a way that made it easier to grasp. I took calculus twice, and the first time i took it I DIDNT understand anything the professor was trying to teach. So naturally I failed it. The second time, I took it with a professor that ma"
10/30/20 17:24,10/30/20 17:29,IP Address,100,302,TRUE,10/30/20 17:29,R_3I9lvwWyHBKT770,anonymous,EN,"I consent, begin the study.",White,,,,,,,Male,,"STEM major (Biology, Math, etc.)",,Disagree,Disagree,Agree,Disagree,Agree,Mostly Disagree,Agree,Agree,Middle School (6th to 8th),Algebra,Sometimes,Rarely ,Always,Rarely ,9th Grade,Geometry,Sometimes,Rarely ,Rarely ,Rarely ,Agree,Disagree,Mostly Agree,Disagree,Disagree,Mostly Disagree,Mostly Agree,Disagree,Strongly Disagree,Mostly Agree,Mostly Agree,Strongly Agree,It was directly tied to earning more cash. 
10/31/20 16:02,10/31/20 16:08,IP Address,100,323,TRUE,10/31/20 16:08,R_2eV9VBG0Nuiw0X3,anonymous,EN,"I consent, begin the study.",White,Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Pacific Islander,Other,human,Male,,"STEM major (Biology, Math, etc.)",,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,12th Grade,Calculus,Always,Sometimes,Always,Sometimes,College,Calculus,Always,Sometimes,Always,Sometimes,Agree,Strongly Agree,Mostly Disagree,Disagree,Mostly Agree,Mostly Agree,Disagree,Mostly Disagree,Strongly Disagree,Agree,Mostly Agree,Mostly Disagree,i saw how it related more to my job.
11/1/20 13:24,11/1/20 13:33,IP Address,100,530,TRUE,11/1/20 13:33,R_3O8pXuBM9TFwz0T,anonymous,EN,"I consent, begin the study.",White,,,,,,,Male,,"Social Science major (Education, English, Psychology, etc.)",,Disagree,Disagree,Agree,Disagree,Agree,Mostly Disagree,Agree,Agree,College,Calculus,Always,Always,Sometimes,Always,11th Grade,Geometry,Sometimes,Sometimes,Rarely ,Rarely ,Agree,Mostly Agree,Mostly Agree,Mostly Agree,Mostly Disagree,Strongly Disagree,Strongly Disagree,Mostly Agree,Strongly Disagree,Mostly Disagree,Mostly Agree,Strongly Disagree,I could fully understand it
10/27/20 9:49,10/27/20 9:50,IP Address,2,15,FALSE,11/3/20 8:50,R_3qkvnVYZcnbqMXg,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/20 11:04,10/27/20 11:04,IP Address,2,2,FALSE,11/3/20 10:04,R_sTZ9vrDhzJzYr0l,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/20 13:24,11/3/20 13:29,IP Address,100,316,TRUE,11/3/20 13:29,R_2D2GuFDoMK0yhz7,anonymous,EN,"I consent, begin the study.",,,,,,Other,Hispanic,Female,,"Social Science major (Education, English, Psychology, etc.)",,Mostly Disagree,Mostly Disagree,Mostly Agree,Mostly Disagree,Agree,Disagree,Agree,Agree,10th Grade,Geometry,Always,Always,Always,Always,College,Algebra,Always,Always,Always,Sometimes,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,My teachers made the lessons fun and they had high energy
11/3/20 13:24,11/3/20 13:29,IP Address,100,317,TRUE,11/3/20 13:29,R_ZHQIUN8f0fIpKSd,anonymous,EN,"I consent, begin the study.",,,,,,Other,,Female,,"Social Science major (Education, English, Psychology, etc.)",,Mostly Agree,Mostly Agree,Mostly Disagree,Agree,Mostly Disagree,Agree,Mostly Agree,Mostly Agree,College,Algebra,Sometimes,Always,Sometimes,Rarely ,12th Grade,Calculus,Always,Always,Rarely ,Never,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Mostly Agree,Mostly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,there wasn’t so many equations and formulas to remember. If the tests weren’t multiple choice. And if each person got assigned a specific test based on how well or bad their doing in the class.
11/3/20 13:24,11/3/20 13:31,IP Address,100,383,TRUE,11/3/20 13:31,R_2YMsg7mQoBfP3iv,anonymous,EN,"I consent, begin the study.",White,,,,,,,Male,,"Social Science major (Education, English, Psychology, etc.)",,Mostly Agree,Mostly Agree,Agree,Disagree,Strongly Agree,Mostly Disagree,Agree,Agree,12th Grade,Calculus,Always,Always,Always,Always,Middle School (6th to 8th),Algebra,Rarely ,Rarely ,Never,Rarely ,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Mostly Disagree,Agree,Mostly Disagree,Strongly Disagree,Strongly Disagree,Mostly Agree,Strongly Agree,Agree,There are more options for jobs in future that uses math every day.
11/3/20 13:26,11/3/20 13:31,IP Address,100,321,TRUE,11/3/20 13:31,R_12R0ni69MjhC6Lg,anonymous,EN,"I consent, begin the study.",,,,Asian,,,,Female,,"Social Science major (Education, English, Psychology, etc.)",,Mostly Agree,Mostly Agree,Mostly Agree,Mostly Disagree,Mostly Agree,Mostly Disagree,Agree,Mostly Agree,College,Algebra,Sometimes,Sometimes,Sometimes,Sometimes,12th Grade,Calculus,Always,Always,Sometimes,Sometimes,Strongly Agree,Mostly Disagree,Mostly Agree,Mostly Agree,Mostly Disagree,Mostly Disagree,Mostly Disagree,Mostly Agree,Mostly Disagree,Mostly Agree,Agree,Disagree,it didn't involve letters
11/3/20 13:27,11/3/20 13:32,IP Address,100,288,TRUE,11/3/20 13:32,R_yxdKG39Ayzb65rP,anonymous,EN,"I consent, begin the study.",White,,,,,,,Female,,"Social Science major (Education, English, Psychology, etc.)",,Mostly Disagree,Mostly Disagree,Mostly Agree,Mostly Disagree,Mostly Agree,Mostly Agree,Mostly Agree,Mostly Agree,9th Grade,Algebra,Sometimes,Always,Always,Always,12th Grade,Calculus,Always,Always,Always,Never,Mostly Agree,Disagree,Mostly Agree,Mostly Agree,Mostly Agree,Strongly Disagree,Mostly Disagree,Agree,Strongly Disagree,Mostly Disagree,Mostly Disagree,Mostly Disagree,it was easier
11/3/20 13:32,11/3/20 13:36,IP Address,100,249,TRUE,11/3/20 13:36,R_3PcdrteEuWvPHMG,anonymous,EN,"I consent, begin the study.",White,,,,,,,Female,,"Social Science major (Education, English, Psychology, etc.)",,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Middle School (6th to 8th),Algebra,Always,Always,Always,Always,9th Grade,Geometry,Sometimes,Sometimes,Rarely ,Rarely ,Agree,Agree,Mostly Disagree,Mostly Disagree,Mostly Agree,Mostly Disagree,Strongly Agree,Disagree,Strongly Disagree,Mostly Disagree,Mostly Agree,Mostly Agree,it was connected to the real world and my future career. Otherwise it feels like a waste of my time and energy. 
11/3/20 13:33,11/3/20 13:38,IP Address,100,309,TRUE,11/3/20 13:38,R_9Y1MVi2mgPyzRZL,anonymous,EN,"I consent, begin the study.",White,,,,,,,Male,,"STEM major (Biology, Math, etc.)",,Mostly Agree,Mostly Agree,Mostly Disagree,Mostly Agree,Mostly Disagree,Strongly Agree,Mostly Disagree,Mostly Disagree,12th Grade,Calculus,Always,Always,Always,Always,College,Calculus,Sometimes,Rarely ,Rarely ,Never,Strongly Agree,Mostly Agree,Strongly Agree,Mostly Disagree,Strongly Disagree,Mostly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Mostly Agree,Strongly Disagree,"I had good teachers. To be a good teacher, they must be able to take class time to answer questions, to review topics that a student is having trouble with, to ask if everyone is following or ask if anyone has questions, make class interesting, be compreh"
